categoria_atual,artigos,nova_categoria
"Artes Marciais",1,"Artes Marciais"
"artesanato brasileiro",1,"artesanato brasileiro"
"artistas brasileiros",1,"artistas brasileiros"
"atendimento emergencial",1,"atendimento emergencial"
"atividade física",1,"atividade física"
"atividades gratuitas",1,"atividades gratuitas"
"atletas de sucesso",1,"atletas de sucesso"
"audiovisual brasileiro",1,"audiovisual brasileiro"
"autocuidado",1,"autocuidado"
"aventuras",1,"aventuras"
"Basquete",1,"Basquete"
"bebidas alcoolicas",1,"bebidas alcoolicas"
"bibliotecas americanas",1,"bibliotecas americanas"
"bibliotecas comunitárias",1,"bibliotecas comunitárias"
"big data saúde",1,"big data saúde"
"bioimpressão",1,"bioimpressão"
"boibrasil",1,"boibrasil"
"Brasielrios na Florida",1,"Brasielrios na Florida"
"Brasil Colônia",1,"Brasil Colônia"
"Brasil no exterior",1,"Brasil no exterior"
"business",1,"business"
"Cadeia",1,"Cadeia"
"Carro",1,"Carro"
"cartao de crédito",1,"cartao de crédito"
"CBTV",1,"CBTV"
"Clínicas Veterinárias",1,"Clínicas Veterinárias"
"Culinária",1,"Culinária"
"cura espiritual",1,"cura espiritual"
"Curiosidades",1,"Curiosidades"
"dialup",1,"dialup"
"Disney",1,"Disney"
"Empreendedorismo",1,"Empreendedorismo"
"Escorpiao",1,"Escorpiao"
"facebrasil ano VI",1,"facebrasil ano VI"
"Facebrasil Versão Online",1,"Facebrasil Versão Online"
"Filosofia",1,"Filosofia"
"florida",1,"florida"
"Governo",1,"Governo"
"Aconteceu",0,"Aconteceu"
"Face Brasileira",0,"Face Brasileira"
